Variable1,Correlation,Description,Variable_Part,Variable_Part_Description
Median,-0.8846451229490973,Ex_S8_S104,dim4,Boxer breakdown
Average,-0.8962592765793745,Ecdf_S10,dim4,Boxer breakdown
Average,-0.9387261343342934,Ecdf_S9,dim4,Boxer breakdown
Average,-0.9637234785537315,Ecdf_S13,dim4,Boxer breakdown
Average,0.992702881631395,Ex_S5_S6,dim5,Packer processing time
Median,0.9872163950365587,Ex_S5_S6,dim5,Packer processing time
Average,0.9860293970889544,Ecdf_S1,dim5,Packer processing time
Average,0.9797399287787866,Ecdf_S3,dim5,Packer processing time
Median,0.9791019861548754,Ex_S3_S4,dim5,Packer processing time
Median,0.9757091076919637,Ex_S4_S5,dim5,Packer processing time
Median,0.9749717776629465,Ex_S8_S9,dim5,Packer processing time
Average,0.9735900718835184,Ex_S3_S4,dim5,Packer processing time
Median,0.9730372351784925,Ex_S1_S103,dim5,Packer processing time
Average,0.9695820668079332,Ex_S4_S5,dim5,Packer processing time
Average,0.9624813493882414,Ex_S2_S3,dim5,Packer processing time
Average,0.9602513106977746,Ex_S1_S102,dim5,Packer processing time
Median,0.9595913454710226,Ecdf_S3,dim5,Packer processing time
Average,0.9556914158544443,Ex_S1_S103,dim5,Packer processing time
Median,0.9531779498572103,Ex_S1_S102,dim5,Packer processing time
Average,0.928823827080452,Ex_S3_S100,dim5,Packer processing time
Median,0.9191244897443428,Ecdf_S1,dim5,Packer processing time
Average,0.8957123809131767,Ex_S8_S9,dim5,Packer processing time
Average,0.8929719365469991,Ecdf_S4,dim5,Packer processing time
Median,0.8909449831328052,Ecdf_S4,dim5,Packer processing time
Average,0.890481245490654,Ex_S1_S2,dim5,Packer processing time
Median,0.8732093591168149,Ex_S1_S15,dim5,Packer processing time
Median,0.868518815119249,Ex_S2_S3,dim5,Packer processing time
Median,0.8627873646990359,Ex_S1_S2,dim5,Packer processing time
Average,0.8163185558525573,Ex_S1_S15,dim5,Packer processing time
Average,0.7555545540574032,Ecdf_S5,dim5,Packer processing time
Median,0.7150997598767928,Ex_S13_S14,dim5,Packer processing time
Average,-0.6767995935199471,Ecdf_S7,dim5,Packer processing time
Average,-0.6803184780073704,Ex_S10_S103,dim5,Packer processing time
Average,-0.8109879351659468,Ecdf_S13,dim5,Packer processing time
Median,-0.8711670882206203,Ecdf_S13,dim5,Packer processing time
Average,-0.91077946950774,Ecdf_S10,dim5,Packer processing time
Median,-0.9293699242923904,Ecdf_S10,dim5,Packer processing time
Average,-0.9426860347402846,Ecdf_S12,dim5,Packer processing time
Average,-0.9507139579392837,Ecdf_S14,dim5,Packer processing time
Average,0.9898414690680881,Ex_S4_S5,dim6,Packer breakdown
Average,0.9866538468428612,Ex_S1_S103,dim6,Packer breakdown
Average,0.986350639916384,Ex_S3_S4,dim6,Packer breakdown
