855743;opBox_onBreak;1
1059450;opBox_onBreak;0
1863996;opBox_onBreak;1
2057560;opBox_onBreak;0
2869535;opBox_onBreak;1
3065068;opBox_onBreak;0
3933393;opBox_onBreak;1
4133108;opBox_onBreak;0
5019036;opBox_onBreak;1
5213745;opBox_onBreak;0
6051009;opBox_onBreak;1
6272645;opBox_onBreak;0
7088123;opBox_onBreak;1
7297485;opBox_onBreak;0
8127076;opBox_onBreak;1
8350714;opBox_onBreak;0
9196202;opBox_onBreak;1
9431933;opBox_onBreak;0
10232726;opBox_onBreak;1
10429588;opBox_onBreak;0
11297532;opBox_onBreak;1
11487339;opBox_onBreak;0
12307782;opBox_onBreak;1
12536832;opBox_onBreak;0
13336474;opBox_onBreak;1
13565783;opBox_onBreak;0
14430982;opBox_onBreak;1
14645923;opBox_onBreak;0
15446349;opBox_onBreak;1
15647687;opBox_onBreak;0
16469580;opBox_onBreak;1
16666589;opBox_onBreak;0
17485832;opBox_onBreak;1
17725511;opBox_onBreak;0
18560999;opBox_onBreak;1
18758571;opBox_onBreak;0
19602673;opBox_onBreak;1
19802385;opBox_onBreak;0
20644655;opBox_onBreak;1
20827431;opBox_onBreak;0
21622442;opBox_onBreak;1
21821364;opBox_onBreak;0
22722572;opBox_onBreak;1
22955964;opBox_onBreak;0
23796510;opBox_onBreak;1
24011893;opBox_onBreak;0
24875234;opBox_onBreak;1
25106750;opBox_onBreak;0
26007801;opBox_onBreak;1
26197401;opBox_onBreak;0
27054388;opBox_onBreak;1
27291858;opBox_onBreak;0
28123760;opBox_onBreak;1
28356788;opBox_onBreak;0
