241550;S100;PZ_1000_106;false
252050;S100;PZ_1000_110;false
346200;S100;PZ_1000_154;false
563690;S100;PZ_1010_253;false
566190;S100;PZ_1010_255;false
1025820;S100;PZ_1010_465;true
1115610;S100;PZ_1010_480;false
1165420;S100;PZ_1010_509;false
1237780;S100;PZ_1010_547;false
1389880;S100;PZ_1020_614;false
1449260;S100;PZ_1020_642;false
1501840;S100;PZ_1020_666;false
1984440;S100;PZ_1030_890;true
1986440;S100;PZ_1030_891;true
2045120;S100;PZ_1030_917;true
2045240;S100;PZ_1030_918;true
2045360;S100;PZ_1030_920;true
2045480;S100;PZ_1030_921;true
2045600;S100;PZ_1030_922;true
2045720;S100;PZ_1030_923;true
2045840;S100;PZ_1030_924;true
2045960;S100;PZ_1030_925;true
2046080;S100;PZ_1030_926;true
2046200;S100;PZ_1030_927;true
2046320;S100;PZ_1030_928;true
2046440;S100;PZ_1030_929;true
2046560;S100;PZ_1030_930;true
2046680;S100;PZ_1030_931;true
2046800;S100;PZ_1030_932;true
2046920;S100;PZ_1030_933;true
2047040;S100;PZ_1030_934;true
2048130;S100;PZ_1030_935;true
2094260;S100;PZ_1030_978;false
2279960;S100;PZ_1030_1115;false
2348000;S100;PZ_1030_1165;false
2475740;S100;PZ_1000_1241;false
2489690;S100;PZ_1000_1248;false
2566260;S100;PZ_1000_1283;false
2706350;S100;PZ_1000_1349;false
2960170;S100;PZ_1010_1475;false
4088880;S100;PZ_1020_1823;false
4912700;S100;PZ_1030_2064;false
5076780;S100;PZ_1030_2169;false
5132760;S100;PZ_1030_2197;false
5525060;S100;PZ_1030_2406;true
5525180;S100;PZ_1030_2409;true
5525300;S100;PZ_1030_2410;true
5525420;S100;PZ_1030_2411;true
5525540;S100;PZ_1030_2413;true
5525660;S100;PZ_1030_2414;true
5525780;S100;PZ_1030_2415;true
5525900;S100;PZ_1030_2416;true
5526020;S100;PZ_1030_2417;true
5526140;S100;PZ_1030_2418;true
5526260;S100;PZ_1030_2420;true
5526380;S100;PZ_1030_2421;true
5526490;S100;PZ_1030_2422;true
5526800;S100;PZ_1000_2423;true
5527970;S100;PZ_1000_2424;true
5643830;S100;PZ_1000_2468;false
5717400;S100;PZ_1000_2500;false
6305150;S100;PZ_1010_2638;true
6305300;S100;PZ_1010_2639;true
6305450;S100;PZ_1010_2640;true
6305600;S100;PZ_1010_2641;true
6305750;S100;PZ_1010_2642;true
6305890;S100;PZ_1010_2643;true
6306040;S100;PZ_1010_2644;true
6306180;S100;PZ_1010_2645;true
6306330;S100;PZ_1010_2646;true
6306480;S100;PZ_1010_2647;true
6306630;S100;PZ_1010_2648;true
6306780;S100;PZ_1010_2649;true
6306930;S100;PZ_1010_2650;true
6307080;S100;PZ_1010_2651;true
6308170;S100;PZ_1010_2652;true
6310410;S100;PZ_1010_2659;false
6377880;S100;PZ_1010_2697;false
6460310;S100;PZ_1010_2742;false
6570080;S100;PZ_1010_2800;false
6722340;S100;PZ_1010_2881;false
6874780;S100;PZ_1010_2963;false
6899610;S100;PZ_1010_2977;false
7863490;S100;PZ_1030_3364;true
7863610;S100;PZ_1030_3365;true
7863730;S100;PZ_1030_3366;true
