23950;S5;PZ_1000_1
27440;S5;PZ_1000_3
30920;S5;PZ_1000_4
34410;S5;PZ_1000_5
37970;S5;PZ_1000_6
41460;S5;PZ_1000_7
44930;S5;PZ_1000_8
48410;S5;PZ_1000_9
51960;S5;PZ_1000_10
55490;S5;PZ_1000_11
58990;S5;PZ_1000_13
62500;S5;PZ_1000_14
66030;S5;PZ_1000_16
69570;S5;PZ_1000_17
73120;S5;PZ_1000_19
76560;S5;PZ_1000_20
80100;S5;PZ_1000_22
83630;S5;PZ_1000_24
87120;S5;PZ_1000_26
90660;S5;PZ_1000_27
94200;S5;PZ_1000_29
97700;S5;PZ_1000_30
101160;S5;PZ_1000_32
104680;S5;PZ_1000_33
108250;S5;PZ_1000_36
111690;S5;PZ_1000_37
115200;S5;PZ_1000_39
118680;S5;PZ_1000_40
122090;S5;PZ_1000_42
125570;S5;PZ_1000_43
129090;S5;PZ_1000_46
132580;S5;PZ_1000_47
136090;S5;PZ_1000_49
139560;S5;PZ_1000_50
143080;S5;PZ_1000_52
146600;S5;PZ_1000_54
150150;S5;PZ_1000_56
153650;S5;PZ_1000_57
157140;S5;PZ_1000_59
160650;S5;PZ_1000_60
164150;S5;PZ_1000_62
167650;S5;PZ_1000_63
171240;S5;PZ_1000_66
174820;S5;PZ_1000_67
178290;S5;PZ_1000_69
181850;S5;PZ_1000_70
185360;S5;PZ_1000_72
188890;S5;PZ_1000_74
192380;S5;PZ_1000_76
195900;S5;PZ_1000_77
199440;S5;PZ_1000_79
203020;S5;PZ_1000_80
206500;S5;PZ_1000_82
210030;S5;PZ_1000_83
213530;S5;PZ_1000_86
217070;S5;PZ_1000_87
220570;S5;PZ_1000_89
224080;S5;PZ_1000_90
227590;S5;PZ_1000_92
231150;S5;PZ_1000_94
234670;S5;PZ_1000_96
238140;S5;PZ_1000_97
241640;S5;PZ_1000_99
245140;S5;PZ_1000_100
248700;S5;PZ_1000_102
252190;S5;PZ_1000_103
259130;S5;PZ_1000_107
262670;S5;PZ_1000_109
269660;S5;PZ_1000_112
273080;S5;PZ_1000_113
276530;S5;PZ_1000_116
280100;S5;PZ_1000_117
283520;S5;PZ_1000_119
287080;S5;PZ_1000_120
290620;S5;PZ_1000_121
294100;S5;PZ_1000_123
297680;S5;PZ_1000_125
301180;S5;PZ_1000_126
304610;S5;PZ_1000_128
308090;S5;PZ_1000_129
311610;S5;PZ_1000_131
315110;S5;PZ_1000_132
